Accession.Number,Genes,Protein.Description,Gan_b4_1,Gan_b4_2,Gan_b4_3,Gan_b4_4,Gan_b4_5,Gan_b4_6,Gan_b4_7,Gan_b4_8,Gan_b4_9,Gan_b4_10,Gan_b4_11,Gan_b4_12,Gan_b4_13,Gan_b4_15,Gan_b4_16,Gan_b4_17,Gan_b4_18
Q9NVN8,GNL3L,Guanine nucleotide-binding protein-like 3-like protein OS=Homo sapiens OX=9606 GN=GNL3L PE=1 SV=1,117916.2239,110801.4553,111975.837,87151.96304,108176.2795,95797.76286,77053.17291,117664.5863,91066.59298,110406.9094,88398.54695,66528.94059,87515.80683,89322.94763,90447.90115,77530.48664,82327.38606
O14775,GNB5,Guanine nucleotide-binding protein subunit beta-5 OS=Homo sapiens OX=9606 GN=GNB5 PE=1 SV=2,123772.1767,118536.4072,123348.9988,115907.5509,113731.1614,109597.8301,121240.1457,104702.9322,122103.7426,95902.08595,120103.0851,107128.1693,108241.3269,96544.90769,91361.88585,97239.42453,92834.08
Q96DI7,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,323779.8783,339382.1484,340136.4648,317394.9889,319791.8907,301106.3703,285512.9356,296537.2742,270055.3072,347946.8811,295372.2312,325991.4103,313519.7876,289283.9387,275866.4709,270939.3831,265578.01
Q8N568,DCLK2,Serine/threonine-protein kinase DCLK2 OS=Homo sapiens OX=9606 GN=DCLK2 PE=1 SV=4,192621.2607,182384.8785,207452.2638,199018.4988,187173.5101,168074.5545,185390.4599,188466.2425,187508.8703,168812.3527,221927.6794,177050.7611,184894.088,182377.4793,160513.2274,183243.3122,181407.0653
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL OS=Homo sapiens OX=9606 GN=CPVL PE=1 SV=2,349788.3223,359280.4092,345573.784,360884.984,362047.1027,360866.7163,331262.5197,343129.8177,342604.836,341814.1238,221790.8365,331736.5412,291009.4637,328925.5029,359467.0391,313849.5685,308373.7335
P30050,RPL12,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,763776.2506,725097.028,733845.471,743082.7097,689940.5504,754061.2431,734975.3554,777689.112,803896.8629,771991.0814,837446.0694,800358.4127,770411.7574,815237.1837,816312.5433,775519.8645,780397.3887
O95487,SEC24B,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,287564.227,264366.4244,270327.8088,279989.1459,262871.1646,270351.6695,282712.8112,277546.276,282645.043,247279.6077,267062.4109,245040.6036,258586.9449,272289.786,249315.2913,269454.8054,268691.6858
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ADAM22 PE=1 SV=1,62869.00326,53852.98563,60115.91425,63330.10255,56081.60974,57221.75597,45084.57293,52878.23547,59227.05024,50100.67742,60108.82695,61518.2247,53537.53779,66434.6635,47726.94411,51725.51988,42910.92678
O95486,SEC24A,Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,248400.2801,241739.6522,246333.9962,242311.5335,244048.4647,236909.4153,235548.0005,232907.3036,256961.851,230384.6906,225676.1025,226396.3244,236292.6576,257421.6672,228405.4326,221709.8152,228551.5551
Q9NY12,GAR1,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,277913.8811,305176.7027,288645.6864,273633.6442,269035.6692,258846.6794,232706.7075,269932.404,258479.0334,329973.3636,248772.1303,286060.4118,318632.5141,293288.6824,262625.1108,234563.4723,253123.174
Q8N4L2,PIP4P2,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase OS=Homo sapiens OX=9606 GN=PIP4P2 PE=1 SV=1",229505.1974,215957.0344,207070.2006,204103.1617,220977.2326,221901.8062,210855.6179,195525.3255,193611.4682,202189.7575,168064.6761,219218.789,180888.9889,172633.6609,210608.8791,202631.5935,182512.6
Q96GM5,SMARCD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens OX=9606 GN=SMARCD1 PE=1 SV=2,207762.0617,219029.4504,209292.6976,201628.0121,204734.4933,188970.419,182606.171,193820.8548,179539.4257,228977.7696,215624.7054,216053.1036,219106.9042,199498.5106,200980.5744,188735.6936,194847.0759
Q96CX2,KCTD12,BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens OX=9606 GN=KCTD12 PE=1 SV=1,631447.7366,618394.7561,671323.1231,666364.0895,593365.1376,565474.7501,611685.0138,642163.1148,765408.0586,617742.618,719611.5864,624093.5928,671873.6522,649571.6576,548017.1702,574972.727,551602.0202
O75882,ATRN,Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2,140743.2581,140348.2394,140697.2388,139972.4018,138906.5356,137021.4318,139614.8152,139846.5473,156248.6279,133326.0214,135000.9454,148650.4443,136610.4267,146949.8927,136135.238,135284.9202,124774.7403
Q9H2P0,ADNP,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1,283460.7318,292487.1555,279219.1344,297545.7994,275791.5301,223563.8819,242265.7392,251329.4411,238253.8687,306422.0296,337512.6161,320563.7219,297798.1663,240442.1825,209641.518,248750.3802,245738.4399
Q15024,EXOSC7,Exosome complex component RRP42 OS=Homo sapiens OX=9606 GN=EXOSC7 PE=1 SV=3,168371.165,182811.902,180612.2292,179122.142,187764.3767,213304.2566,203020.6519,183519.4217,172259.1074,199097.0487,156656.3142,184007.1773,182225.0006,193118.1654,226207.4635,218416.8624,212871.9561
O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,471340.8659,462187.5075,469916.7785,466392.8157,441632.687,433953.9634,474050.9435,429964.1653,468701.0707,466873.3132,490396.6149,504399.1521,469362.7893,426949.7498,424776.8965,469926.4607,417335.938
Q7RTV0,PHF5A,PHD finger-like domain-containing protein 5A OS=Homo sapiens OX=9606 GN=PHF5A PE=1 SV=1,306501.8295,268272.9576,259449.4577,269595.9802,244056.4771,140040.0615,145067.5168,213105.6215,232384.029,253249.5869,205046.6936,273915.2949,241815.1402,245309.3708,149607.43,133612.1505,184903.8553
Q96I25,RBM17,Splicing factor 45 OS=Homo sapiens OX=9606 GN=RBM17 PE=1 SV=1,145567.427,147537.2787,149563.9906,153796.3714,166585.5208,168553.5742,156651.4817,154244.6222,127950.7723,172879.0957,158166.9746,147875.6977,162933.9817,151797.0323,154979.0833,160467.8067,165410.5674
Q9BSR8,YIPF4,Protein YIPF4 OS=Homo sapiens OX=9606 GN=YIPF4 PE=1 SV=1,413098.2506,452465.9291,406990.695,406370.6762,399356.8405,326292.5619,362568.5871,425034.2426,403738.6577,476767.2228,354946.3899,430863.9921,375262.7775,363107.9244,348798.8009,348192.6696,305969.9364
P31689,DNAJA1,DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,395332.5213,402168.6642,413081.8352,398940.2135,366689.8304,342933.2201,345209.6994,379753.0444,382863.5682,392971.6933,404203.0844,417501.6403,392243.9297,395257.4377,349336.7498,362480.0313,371209.6706
O94925,GLS,"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1",420172.8259,430373.5382,421171.0667,437059.0708,429787.3888,372329.4584,378186.5487,365417.0171,382630.5923,385107.4161,391464.353,411519.068,374047.8869,340424.0376,321557.6686,294716.4606,313881.6503
Q5J8M3,EMC4,ER membrane protein complex subunit 4 OS=Homo sapiens OX=9606 GN=EMC4 PE=1 SV=2,330585.7483,345541.3359,344925.1906,334643.7641,297993.4852,290421.7355,277207.4231,285028.5887,283162.9745,308139.0897,283993.2009,333775.4201,305963.3439,299541.5914,291268.2738,250932.2686,254363.054
P14373,TRIM27,Zinc finger protein RFP OS=Homo sapiens OX=9606 GN=TRIM27 PE=1 SV=1,184154.5222,184159.3109,158971.0294,168486.8983,173745.3468,183920.6297,128680.2216,158924.4704,165754.0568,201115.4555,164359.2281,194403.1722,173261.6769,167010.1692,141445.4928,147382.0014,144975.1153
O75352,MPDU1,Mannose-P-dolichol utilization defect 1 protein OS=Homo sapiens OX=9606 GN=MPDU1 PE=1 SV=2,772922.6776,839751.6735,736491.2732,811919.0419,836426.6275,894105.3037,866028.9426,767540.9431,789500.692,818970.1139,663734.2815,826948.5948,753388.5726,776776.449,892072.6025,809666.8723,844940.7161
P51610,HCFC1,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,335435.0337,339537.5706,334845.8437,335726.1782,344727.7088,329430.9347,328665.2769,330754.6526,315099.9326,344875.2567,343606.4791,336993.4979,351187.3285,321197.3156,302946.6402,332614.4372,320767.2453
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens OX=9606 GN=SIRT2 PE=1 SV=2,355055.6822,331467.5546,345465.7713,329923.8551,295486.4215,271313.3111,293457.2072,325411.7107,367943.7517,314295.8637,339560.8404,337625.3559,335845.1769,356639.6326,285952.9642,319072.9719,304966.9611
O15541,RNF113A,E3 ubiquitin-protein ligase RNF113A OS=Homo sapiens OX=9606 GN=RNF113A PE=1 SV=1,113771.8198,95014.53905,75869.09088,72022.21605,106071.3125,89833.26442,91982.35693,66473.14098,54115.11774,80844.96077,64327.62859,66773.15995,67325.92123,74720.11603,88835.33566,73748.29626,76254.28132
P40616,ARL1,ADP-ribosylation factor-like protein 1 OS=Homo sapiens OX=9606 GN=ARL1 PE=1 SV=1,568789.5642,579501.0019,599743.6637,567848.0771,564478.6519,577961.8596,539544.4446,554202.4872,575955.772,536078.5837,476597.6129,579503.8298,515730.9388,545355.495,593812.7274,552015.4325,562230.2354
Q01085,TIAL1,Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1,340624.332,340524.5778,355011.1411,344463.3556,344079.0911,297704.8098,298121.3382,308039.293,321039.0764,353048.5106,358430.6738,338128.1714,347664.6348,307934.9534,294606.3467,292861.8956,278900.6092
Q13564,NAE1,NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens OX=9606 GN=NAE1 PE=1 SV=1,432514.2484,394174.6864,405484.8846,395617.1122,423617.2199,451050.7041,457436.9785,438543.2666,443556.1694,385838.3018,385662.0185,378633.7585,412635.3171,411334.8008,448014.5061,450581.0425,468914.7695
Q14728,MFSD10,Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens OX=9606 GN=MFSD10 PE=1 SV=1,363106.7301,311152.7918,314739.6519,361544.5241,324657.9304,316989.7005,247746.0328,271357.0508,294471.9274,358324.7325,269947.8938,342328.7715,285020.127,359761.3357,353667.3372,260356.4938,253993.3941
O95716,RAB3D,Ras-related protein Rab-3D OS=Homo sapiens OX=9606 GN=RAB3D PE=1 SV=1,153407.7178,177800.9528,175460.1741,193178.3298,155526.1065,145144.8537,137074.3256,145744.3802,205323.2299,166393.7241,154531.9949,222963.9638,165711.6171,206715.1169,155069.3967,152469.2507,131900.4156
Q8NBU5,ATAD1,Outer mitochondrial transmembrane helix translocase OS=Homo sapiens OX=9606 GN=ATAD1 PE=1 SV=1,553493.0668,571405.1704,596903.7472,576845.0644,587398.5118,529291.8265,551203.9763,524552.5574,553181.6155,555949.8197,599583.1482,628820.783,544336.0558,550538.1941,498905.5507,567558.0938,513489.6955
P08240,SRPRA,Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,342218.9858,332722.1299,332625.8024,325868.6219,352665.3232,342889.6768,325249.7528,320794.8076,290449.4606,363771.5006,333967.9367,332093.1052,346644.971,329419.0473,348561.8222,322995.7329,339686.2275
Q9H9Q4,NHEJ1,Non-homologous end-joining factor 1 OS=Homo sapiens OX=9606 GN=NHEJ1 PE=1 SV=1,224501.7671,205124.2986,201282.5815,215162.5468,193733.8078,210515.3861,186755.7556,209799.338,241261.3552,211361.2905,193116.1153,229967.8081,210227.341,252665.9947,213847.0841,200098.0656,226852.3595
Q9NWS8,RMND1,Required for meiotic nuclear division protein 1 homolog OS=Homo sapiens OX=9606 GN=RMND1 PE=1 SV=2,412815.5858,361044.1334,383980.8921,431537.2674,409538.925,476144.1229,467218.6701,458019.4282,452373.1243,361945.9543,392108.9129,415295.9365,381434.4384,442196.1182,538676.9993,523477.8471,534995.5997
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,572228.7865,552921.0591,598986.2562,557942.3147,571708.3873,481485.024,510916.77,477765.3714,481651.6709,637169.1912,646671.6192,623367.1307,606519.7631,487165.5413,454840.4605,517187.5354,477098.1495
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein OS=Homo sapiens OX=9606 GN=STK11IP PE=1 SV=4,94608.76124,120662.7084,120197.1997,102353.6954,106203.4914,116617.382,96422.69113,101755.7941,94333.97892,99134.5069,100402.3443,108643.2058,105143.4512,103930.0334,96790.72621,101166.85,110224.4739
Q99805,TM9SF2,Transmembrane 9 superfamily member 2 OS=Homo sapiens OX=9606 GN=TM9SF2 PE=1 SV=1,436158.8643,430994.3093,429863.8055,444143.6733,439584.8104,460652.4339,454477.5499,450031.2907,436695.3474,394934.0932,397363.7813,468317.9873,371393.1305,444328.8139,464218.2579,455842.8686,422226.4449
Q8TDW7,FAT3,Protocadherin Fat 3 OS=Homo sapiens OX=9606 GN=FAT3 PE=2 SV=3,85320.92345,94907.58063,102650.9227,96040.02642,89832.83478,90922.3467,114647.9728,112416.8516,129523.609,78890.52183,131691.9679,112614.3761,95395.9865,129082.9689,93482.11795,136722.2653,101414.938
Q13630,GFUS,GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=GFUS PE=1 SV=1,334950.7252,312654.3838,316672.1109,311855.413,321782.9768,297716.7538,293440.9634,307402.7392,354442.3643,303259.973,348630.7371,310623.7101,313586.6029,326048.5493,285772.882,296681.8398,309738.6882
Q5T200,ZC3H13,Zinc finger CCCH domain-containing protein 13 OS=Homo sapiens OX=9606 GN=ZC3H13 PE=1 SV=1,113867.1151,114389.052,114953.1767,115529.5261,95159.24929,93895.85522,95055.1416,105479.7653,109170.1418,132307.9614,128021.3472,127607.7557,133110.1805,103640.8811,108389.4951,100703.6647,108038.1316
Q96T23,RSF1,Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2,100371.8958,113109.1711,131000.1302,119361.1752,116310.1612,108219.7288,109736.9125,107731.5742,95638.5184,134026.9853,132566.1502,125879.0181,120139.1953,88157.36394,94780.75055,112200.8422,103027.8406
A0A087X1X7;A0A8C8L741;E9PRY8,EEF1D,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=1,332141.9228,305951.6682,327661.0386,325677.0109,326028.6235,321507.5007,322775.2683,341009.7067,371195.4395,313096.3024,343628.9107,327951.2617,329889.5174,352306.4653,320610.1947,343765.9339,316794.6937
Q01130,SRSF2,Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4,202176.9821,298983.1999,340350.2208,307500.7673,346993.4237,376792.4352,385594.6716,311065.2844,312070.6903,423597.741,342434.2866,345303.91,343017.929,332512.2913,426100.586,408753.3319,392821.7755
Q07955,SRSF1,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,1615840.79,1741870.078,1698774.238,1612554.193,1689747.946,1591980.104,1498518.381,1557860.267,1378885.192,1829668.337,1598185.074,1663776.76,1690266.19,1579841.561,1585680.583,1579556.246,1618130.474
P12109,COL6A1,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3,334550.5105,338151.2825,325137.3829,346537.8125,352034.7875,365723.1955,341322.4126,322797.6556,287063.9828,388278.4548,304224.1339,324929.6656,343555.555,298774.5143,370174.2342,309145.1229,340316.8915
Q9H0E9,BRD8,Bromodomain-containing protein 8 OS=Homo sapiens OX=9606 GN=BRD8 PE=1 SV=2,86436.22829,56865.66035,90222.30162,69305.90896,113915.2014,119303.0003,158000.5221,91612.83346,80159.06971,91072.72554,94484.62431,136464.3656,91400.72225,137608.8384,72876.80572,126543.5764,114442.8607
O95197,RTN3,Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2,313662.6061,308289.6895,328272.2686,326349.3024,297018.5242,264422.6362,302288.4896,302409.6821,350271.8334,275755.9606,373622.4371,365042.3257,303082.9059,289146.6156,247222.1247,275676.3367,257032.1367
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2,137621.5756,142695.0348,147522.0047,151792.4407,152179.4555,150207.9686,169160.975,149836.1214,117692.7414,153494.9201,142449.3754,139625.7181,167230.084,131350.8645,141136.5843,157276.0982,147091.8666
O43306,ADCY6,Adenylate cyclase type 6 OS=Homo sapiens OX=9606 GN=ADCY6 PE=1 SV=2,97538.18964,114582.3348,126767.7683,112466.8766,113744.574,147548.2424,98293.52309,115028.1656,92818.51335,90953.39093,113967.3933,94215.51659,107047.0861,101145.9627,79945.34325,,161609.278
Q8NFY4,SEMA6D,Semaphorin-6D OS=Homo sapiens OX=9606 GN=SEMA6D PE=1 SV=1,222364.3454,219847.2491,248406.3856,237325.6049,207239.973,267238.2109,299143.7043,300760.202,368137.431,219399.1187,275077.2906,267935.8868,225835.8661,328119.0202,247013.8312,286803.8391,247386.1865
Q86UY8,NT5DC3,5'-nucleotidase domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NT5DC3 PE=1 SV=1,229677.132,240683.5098,227738.3841,232758.7165,234760.5837,219341.2052,218154.151,221165.2257,197155.8509,239993.6993,188846.6924,213625.3826,212477.6772,192826.2249,215945.6066,182586.3008,194791.5845
O43924,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta OS=Homo sapiens OX=9606 GN=PDE6D PE=1 SV=1",424050.603,408963.1208,414669.3342,402966.7746,390450.2552,437541.5759,418753.4004,430787.1125,452978.2658,392050.954,438545.5388,417435.6486,394948.8525,452656.4747,389046.5202,436555.8458,396873.8608
Q6GYQ0,RALGAPA1,Ral GTPase-activating protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=RALGAPA1 PE=1 SV=1,250984.0233,239171.8057,241817.9662,254111.372,237171.5729,269908.5719,278252.3468,266508.7704,275577.2276,229030.2604,239852.1797,239084.803,236625.0196,273554.7829,266972.8152,270648.3149,273551.2078
Q9NRZ5,AGPAT4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Homo sapiens OX=9606 GN=AGPAT4 PE=1 SV=1,353558.3497,356356.0322,348486.585,356686.7182,384759.0192,364312.174,347317.747,338193.5114,343181.4506,327380.0606,316544.428,346104.6442,322839.7763,289801.5459,340251.1447,321109.3304,336474.7804
Q8WWI5,SLC44A1,Choline transporter-like protein 1 OS=Homo sapiens OX=9606 GN=SLC44A1 PE=1 SV=1,135361.9503,127225.4298,125760.9421,129520.347,135073.7415,199784.1285,176948.222,171118.9625,182349.82,143126.0196,125531.923,125564.8653,141596.5604,213481.8466,177078.0462,157272.8659,159990.2708
Q9HD45,TM9SF3,Transmembrane 9 superfamily member 3 OS=Homo sapiens OX=9606 GN=TM9SF3 PE=1 SV=2,543189.4561,541490.7415,530482.1788,538654.16,609098.3286,626357.9668,604556.2444,545949.5687,523743.6367,600390.0448,509342.4342,533680.5028,511541.902,530489.4759,547055.9969,564145.1134,538560.3542
P46977,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2,368315.7957,391793.5863,373195.482,380935.6701,377891.8791,375601.4443,350057.9838,365159.2434,359966.7311,398256.5268,332641.1395,400886.5932,354682.1241,379351.443,393435.3191,339725.3302,359109.9011
Q8TAF3,WDR48,WD repeat-containing protein 48 OS=Homo sapiens OX=9606 GN=WDR48 PE=1 SV=1,333821.0928,344270.1902,316936.6314,340054.9873,331799.9055,333581.9219,317780.6721,320017.0564,337749.7977,326672.9947,354934.3912,324747.8604,322467.9482,322515.2793,309291.7197,309927.2463,302782.1939
P33897,ABCD1,ATP-binding cassette sub-family D member 1 OS=Homo sapiens OX=9606 GN=ABCD1 PE=1 SV=2,177682.9457,191417.8468,177433.3247,178980.1733,185498.4485,191172.6687,210222.4449,207435.2967,196526.9188,189027.6468,196079.1025,184859.655,179496.6502,173869.2779,183885.5309,212643.595,210241.2693
Q96BJ3,AIDA,"Axin interactor, dorsalization-associated protein OS=Homo sapiens OX=9606 GN=AIDA PE=1 SV=1",223614.5534,222974.9384,220864.4044,217875.2154,216805.7329,214849.7518,226051.2563,222737.9547,236758.9922,188729.5392,211227.534,217027.97,188734.4901,234380.2612,204195.1069,232943.857,219539.6445
Q13153,PAK1,Serine/threonine-protein kinase PAK 1 OS=Homo sapiens OX=9606 GN=PAK1 PE=1 SV=2,214066.629,188101.8412,211245.3999,200728.8592,180890.2665,173257.6123,207592.5213,228266.4079,282473.9076,154707.5474,246879.0877,201413.9971,174752.3741,216516.4067,148669.1786,204647.926,167607.1606
Q9NWU1,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens OX=9606 GN=OXSM PE=1 SV=1",227525.8581,240292.147,232743.7442,220792.473,227243.4405,201042.2365,181258.461,218600.484,200210.5635,220070.0321,215452.4749,229765.6412,204262.1287,176304.3451,197793.0475,177951.2233,194432.9313
Q96T66,NMNAT3,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 OS=Homo sapiens OX=9606 GN=NMNAT3 PE=1 SV=2,224671.5012,,257570.7057,174405.6376,,243948.9943,256390.3114,269467.9582,149718.7736,,190755.4023,302407.1322,252084.2225,,,367139.6413,
Q99613,EIF3C,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1,493554.2792,492275.6128,477411.6644,494047.9245,502652.0202,511971.6149,499301.6643,486941.2738,472814.1545,503492.5899,459441.8116,462487.451,497682.8043,483914.0008,520563.2264,490377.478,499472.8695
Q8NAV1,PRPF38A,Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1,241274.8568,267267.1361,247071.8411,252209.6708,223593.7312,210422.9439,182711.6449,236001.2761,205934.546,266407.7793,233807.1915,227188.8711,255725.9347,213949.1549,204873.8627,186934.5827,202205.4645
Q9BPW8,NIPSNAP1,Protein NipSnap homolog 1 OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1,1381406.944,1424185.235,1435966.981,1390832.752,1472415.897,1429667.093,1450065.356,1381703.897,1302918.972,1551181.804,1657564.673,1572976.809,1576600.875,1476253.782,1539725.253,1697309.441,1617150.249
Q9BW91,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial OS=Homo sapiens OX=9606 GN=NUDT9 PE=1 SV=1",215579.4582,204451.7739,238835.6174,215617.8804,202638.1127,174218.36,181320.2305,200190.9964,200662.0571,206671.4142,207585.0362,202224.0293,204992.7328,184363.158,166584.9082,157013.2876,162872.4888
P49354,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Homo sapiens OX=9606 GN=FNTA PE=1 SV=1,233647.6765,244196.6714,246670.9669,251748.0443,226149.195,214460.7926,200902.4295,247354.0704,249960.4193,212932.0756,212641.5779,225657.8631,215637.7715,246676.5331,218446.7324,191711.2182,217544.6376
Q9H078,CLPB,Caseinolytic peptidase B protein homolog OS=Homo sapiens OX=9606 GN=CLPB PE=1 SV=1,271800.8034,271988.1449,258985.7295,276571.9951,259295.5434,217108.008,248899.1849,247329.0876,259511.1077,275448.9418,291236.306,307127.6361,288894.6887,271299.4195,251401.6582,251591.7213,242845.3414
P62330,ARF6,ADP-ribosylation factor 6 OS=Homo sapiens OX=9606 GN=ARF6 PE=1 SV=2,593450.7125,585196.6276,605327.5803,621975.6176,653934.986,727848.1355,745815.7379,728498.3302,716663.364,583200.1459,669838.4123,699162.097,658276.2536,743157.0477,767071.8326,846081.6002,832840.3723
P11177,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",822623.2517,844445.8572,798671.0474,840971.2938,848866.1555,842482.2089,786360.7702,782527.157,743398.6563,880362.4281,775513.5591,829679.67,808622.9698,742441.2201,815776.9877,771100.8512,797029.7888
Q9UNX4,WDR3,WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1,196014.5822,218194.3003,198508.6956,205731.3446,223283.9142,224263.3705,189147.1699,201153.2469,160735.6942,202013.0685,175581.547,170034.5721,202541.0219,180207.144,197503.1544,175709.1792,194276.9188
Q86WA6,BPHL,Valacyclovir hydrolase OS=Homo sapiens OX=9606 GN=BPHL PE=1 SV=1,513321.4138,521917.5973,485254.8612,501579.8843,523133.9103,518736.7533,495278.998,492693.0379,443123.0122,545280.6406,504331.433,524326.0775,517910.4364,467256.0991,494309.6943,495465.8045,498076.1466
Q9UL26,RAB22A,Ras-related protein Rab-22A OS=Homo sapiens OX=9606 GN=RAB22A PE=1 SV=2,467927.11,467195.6173,506657.5665,459016.3461,427053.7672,409772.6357,462929.1277,455619.3047,495479.2208,477322.58,493404.4665,488173.3929,444041.7412,486033.153,456459.6739,513671.6619,478552.102
P10746,UROS,Uroporphyrinogen-III synthase OS=Homo sapiens OX=9606 GN=UROS PE=1 SV=1,201205.6902,190529.3416,176463.0897,180946.6666,177583.6193,168748.1891,153875.7358,198254.3039,206893.538,177309.0975,175375.7904,183198.0276,169560.0604,205367.3785,168741.3631,148040.8973,154500.5293
Q10570,CPSF1,Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens OX=9606 GN=CPSF1 PE=1 SV=2,217752.4514,234543.2897,222556.8808,218195.3627,236212.6373,218419.5504,200910.622,205203.4292,191029.6582,230826.4062,200061.7961,209106.2836,211927.2612,192931.6402,212026.1378,198007.073,207983.9615
Q96GX5,MASTL,Serine/threonine-protein kinase greatwall OS=Homo sapiens OX=9606 GN=MASTL PE=1 SV=1,404645.797,417825.8685,402699.6269,422020.1211,482286.2922,379133.2432,388917.0533,423484.7875,422928.0596,453164.7145,431408.5713,409944.9179,445734.0505,436548.8741,429595.2943,376963.1267,361279.7795
Q96BY6,DOCK10,Dedicator of cytokinesis protein 10 OS=Homo sapiens OX=9606 GN=DOCK10 PE=1 SV=3,247701.0554,281288.3194,270010.0526,277780.9975,222481.1552,,,,246083.7589,273590.2904,308100.5634,353837.9688,291900.6686,227584.0167,,137622.0559,152418.466
Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Homo sapiens OX=9606 GN=ISLR2 PE=1 SV=1,259300.2821,255207.3467,258429.0971,244456.5693,253963.0872,311319.2757,333505.7281,362572.064,416614.6525,269481.531,367199.1911,314834.9711,279635.5498,421078.0553,329128.9694,389254.0057,339191.6278
C9JVY5,PALM2AKAP2,PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1,111335.5569,103654.6495,113391.266,123140.1495,112341.6463,104617.8681,115668.7523,107769.0999,109100.2858,110469.3381,126282.0145,111738.9153,104692.4824,103410.3943,92653.07165,124694.9605,111166.4351
